english_sentence,alc_statement
Every doctor is a food that likes at least one software.,Doctor ⊑ Food ⊓ ∃likes.Software
A service is always a organization.,Service ⊑ Organization
Nothing that is a hardware is a teacher.,Hardware ⊑ ¬Teacher
A animal and a bank.,Animal ⊓ Bank
Every bank is a plant that works for at least one hospital.,Bank ⊑ Plant ⊓ ∃worksFor.Hospital
Whatever is both a artist and a product treats a book.,Artist ⊓ Product ⊑ ∃treats.Book
All books are students.,Book ⊑ Student
Every manager is both a hospital and a customer.,Manager ⊑ Hospital ⊓ Customer
Every animal is a hospital that buys at least one software.,Animal ⊑ Hospital ⊓ ∃buys.Software
Every teacher is a cat.,Teacher ⊑ Cat
Every transaction manages something that is both a teacher and a supplier.,Transaction ⊑ ∃manages.(Teacher ⊓ Supplier)
Every software is a project that owns only machines.,Software ⊑ Project ⊓ ∀owns.Machine
A teacher is always a project.,Teacher ⊑ Project
Every building is a engineer.,Building ⊑ Engineer
Every music that authors a publication is a person.,Music ⊓ ∃authors.Publication ⊑ Person
Every employee is a animal that buys at least one patient.,Employee ⊑ Animal ⊓ ∃buys.Patient
Anything that manages only machines.,∀manages.Machine
No hospital is a scientist.,Hospital ⊑ ¬Scientist
A book is always a order.,Book ⊑ Order
Every supplier is a dog that creates only researchers.,Supplier ⊑ Dog ⊓ ∀creates.Researcher
A software attends exclusively publications.,Software ⊑ ∀attends.Publication
A teacher is neither a machine nor a department.,Teacher ⊑ ¬(Machine ⊔ Department)
A researcher is always a company.,Researcher ⊑ Company
Nothing that is a bank is a food.,Bank ⊑ ¬Food
Each city treats a machine.,City ⊑ ∃treats.Machine
No artist is a engineer.,Artist ⊑ ¬Engineer
Every hospital is a doctor.,Hospital ⊑ Doctor
Nothing that is a doctor is a account.,Doctor ⊑ ¬Account
Whatever is both a organization and a invoice sells a bank.,Organization ⊓ Invoice ⊑ ∃sells.Bank
Every publication that funds a vehicle is a project.,Publication ⊓ ∃funds.Vehicle ⊑ Project
All invoices are schools as well as products.,Invoice ⊑ School ⊓ Product
Nothing that is a engineer is a bank.,Engineer ⊑ ¬Bank
Nothing that is a account is a hospital.,Account ⊑ ¬Hospital
Every animal is a plant that has child at least one invoice.,Animal ⊑ Plant ⊓ ∃hasChild.Invoice
"If a city uses anything, it must be a book.",City ⊑ ∀uses.Book
No engineer is a food.,Engineer ⊑ ¬Food
Every movie is both a service and a artist.,Movie ⊑ Service ⊓ Artist
All researchers are employees as well as books.,Researcher ⊑ Employee ⊓ Book
Every building is a hospital that authors only departments.,Building ⊑ Hospital ⊓ ∀authors.Department
Every teacher is a employee that knows only musics.,Teacher ⊑ Employee ⊓ ∀knows.Music
A vehicle or a order.,Vehicle ⊔ Order
Anything that designs only teachers.,∀designs.Teacher
All softwares are departments.,Software ⊑ Department
Anything that owns a researcher.,∃owns.Researcher
Every product that reads only machines is a dog.,Product ⊓ ∀reads.Machine ⊑ Dog
Every city is either a car or a patient.,City ⊑ Car ⊔ Patient
A book is something that works for a customer.,Book ⊑ ∃worksFor.Customer
Anything that reads a hospital.,∃reads.Hospital
A vehicle cannot be a engineer.,Vehicle ⊑ ¬Engineer
Every food designs at least one publication.,Food ⊑ ∃designs.Publication
A artist and a plant.,Artist ⊓ Plant
Every bank is either a publication or a teacher.,Bank ⊑ Publication ⊔ Teacher
All companys are publications.,Company ⊑ Publication
Each invoice owns a course.,Invoice ⊑ ∃owns.Course
Whatever is both a organization and a scientist funds a course.,Organization ⊓ Scientist ⊑ ∃funds.Course
Anything that owns only devices.,∀owns.Device
A invoice is always a school.,Invoice ⊑ School
A building has child exclusively services.,Building ⊑ ∀hasChild.Service
Every order that reads only citys is a dog.,Order ⊓ ∀reads.City ⊑ Dog
A car develops exclusively machines.,Car ⊑ ∀develops.Machine
Whatever is both a person and a invoice teaches a teacher.,Person ⊓ Invoice ⊑ ∃teaches.Teacher
Anything that reads a university.,∃reads.University
Every supplier manages only buildings.,Supplier ⊑ ∀manages.Building
Each hospital operates a city.,Hospital ⊑ ∃operates.City
A person is neither a bank nor a transaction.,Person ⊑ ¬(Bank ⊔ Transaction)
A publication and a plant.,Publication ⊓ Plant
Every doctor is a student that creates at least one building.,Doctor ⊑ Student ⊓ ∃creates.Building
A course or a account.,Course ⊔ Account
Every machine that buys only students is a service.,Machine ⊓ ∀buys.Student ⊑ Service
A publication is neither a account nor a supplier.,Publication ⊑ ¬(Account ⊔ Supplier)
Every food delivers something that is both a artist and a service.,Food ⊑ ∃delivers.(Artist ⊓ Service)
Every person is a artist that supervises at least one manager.,Person ⊑ Artist ⊓ ∃supervises.Manager
Whatever is both a bank and a cat teaches a school.,Bank ⊓ Cat ⊑ ∃teaches.School
A order or a company.,Order ⊔ Company
"If a device works for anything, it must be a vehicle.",Device ⊑ ∀worksFor.Vehicle
Anything that creates only employees.,∀creates.Employee
All customers are defined as a employee or a researcher.,Customer ⊑ Employee ⊔ Researcher
Each engineer knows a teacher.,Engineer ⊑ ∃knows.Teacher
Nothing that is a music is a hardware.,Music ⊑ ¬Hardware
"If a account likes anything, it must be a vehicle.",Account ⊑ ∀likes.Vehicle
Every music is both a software and a researcher.,Music ⊑ Software ⊓ Researcher
Every machine that designs only banks is a vehicle.,Machine ⊓ ∀designs.Bank ⊑ Vehicle
A car is neither a dog nor a plant.,Car ⊑ ¬(Dog ⊔ Plant)
Every library teaches only orders.,Library ⊑ ∀teaches.Order
A food is always a plant.,Food ⊑ Plant
Every school delivers only researchers.,School ⊑ ∀delivers.Researcher
"If a library buys anything, it must be a software.",Library ⊑ ∀buys.Software
Anything that works for only librarys.,∀worksFor.Library
A service and a doctor.,Service ⊓ Doctor
A manager or a patient.,Manager ⊔ Patient
No bank is a project.,Bank ⊑ ¬Project
Anything that has child a vehicle also has child a school.,∃hasChild.Vehicle ⊑ ∃hasChild.School
A invoice or a library.,Invoice ⊔ Library
Anything that designs a invoice.,∃designs.Invoice
Every student is a organization that works for at least one book.,Student ⊑ Organization ⊓ ∃worksFor.Book
Every car is a school.,Car ⊑ School
A machine is something that funds a cat.,Machine ⊑ ∃funds.Cat
Every dog creates something that is both a hospital and a machine.,Dog ⊑ ∃creates.(Hospital ⊓ Machine)
Every school that buys a hardware is a product.,School ⊓ ∃buys.Hardware ⊑ Product
A device or a publication.,Device ⊔ Publication
Every country knows something that is both a car and a building.,Country ⊑ ∃knows.(Car ⊓ Building)
A employee or a project.,Employee ⊔ Project
Each course operates a engineer.,Course ⊑ ∃operates.Engineer
A department or a account.,Department ⊔ Account
Every project manages something that is both a course and a city.,Project ⊑ ∃manages.(Course ⊓ City)
All dogs are devices.,Dog ⊑ Device
All vehicles are foods as well as departments.,Vehicle ⊑ Food ⊓ Department
Every teacher that knows a movie is a dog.,Teacher ⊓ ∃knows.Movie ⊑ Dog
A food cannot be a product.,Food ⊑ ¬Product
"If a animal supervises anything, it must be a researcher.",Animal ⊑ ∀supervises.Researcher
Anything that treats a service.,∃treats.Service
Every software is a university.,Software ⊑ University
Every organization that creates a building is a device.,Organization ⊓ ∃creates.Building ⊑ Device
A device cannot be a transaction.,Device ⊑ ¬Transaction
Every researcher that teaches a transaction is a building.,Researcher ⊓ ∃teaches.Transaction ⊑ Building
A library cannot be a hardware.,Library ⊑ ¬Hardware
Every supplier is a engineer.,Supplier ⊑ Engineer
All employees are defined as a doctor or a dog.,Employee ⊑ Doctor ⊔ Dog
Every book is a machine that owns at least one school.,Book ⊑ Machine ⊓ ∃owns.School
Every company works for something that is both a book and a student.,Company ⊑ ∃worksFor.(Book ⊓ Student)
"If a product works for anything, it must be a library.",Product ⊑ ∀worksFor.Library
Every supplier likes only books.,Supplier ⊑ ∀likes.Book
Anything that creates only universitys.,∀creates.University
All accounts are defined as a supplier or a project.,Account ⊑ Supplier ⊔ Project
All persons are defined as a customer or a food.,Person ⊑ Customer ⊔ Food
All products are defined as a plant or a animal.,Product ⊑ Plant ⊔ Animal
A vehicle is always a transaction.,Vehicle ⊑ Transaction
A product is something that designs a organization.,Product ⊑ ∃designs.Organization
Whatever is both a order and a transaction treats a invoice.,Order ⊓ Transaction ⊑ ∃treats.Invoice
Every machine treats only things that are either a scientist or a doctor.,Machine ⊑ ∀treats.(Scientist ⊔ Doctor)
A animal and a building.,Animal ⊓ Building
A machine is always a customer.,Machine ⊑ Customer
A artist is something that authors a company.,Artist ⊑ ∃authors.Company
"If a service treats anything, it must be a account.",Service ⊑ ∀treats.Account
A department and a customer.,Department ⊓ Customer
Anything that produces a animal.,∃produces.Animal
Anything that has child a service.,∃hasChild.Service
Every person produces something that is both a project and a country.,Person ⊑ ∃produces.(Project ⊓ Country)
Every artist is a building that funds at least one researcher.,Artist ⊑ Building ⊓ ∃funds.Researcher
Every organization is a invoice that sells only departments.,Organization ⊑ Invoice ⊓ ∀sells.Department
Every music that manages a city is a student.,Music ⊓ ∃manages.City ⊑ Student
A company is neither a hospital nor a manager.,Company ⊑ ¬(Hospital ⊔ Manager)
Every food that develops only machines is a building.,Food ⊓ ∀develops.Machine ⊑ Building
A country is something that sells a artist.,Country ⊑ ∃sells.Artist
Every researcher that designs a food is a university.,Researcher ⊓ ∃designs.Food ⊑ University
A student develops exclusively countrys.,Student ⊑ ∀develops.Country
All projects are dogs.,Project ⊑ Dog
A plant cannot be a course.,Plant ⊑ ¬Course
All plants are defined as a invoice or a artist.,Plant ⊑ Invoice ⊔ Artist
A organization or a school.,Organization ⊔ School
Every book manages only artists.,Book ⊑ ∀manages.Artist
Anything that likes only softwares.,∀likes.Software
Every library creates only things that are either a animal or a company.,Library ⊑ ∀creates.(Animal ⊔ Company)
Every bank that operates a food is a patient.,Bank ⊓ ∃operates.Food ⊑ Patient
A plant treats exclusively projects.,Plant ⊑ ∀treats.Project
Every organization reads only foods.,Organization ⊑ ∀reads.Food
Every vehicle is either a course or a patient.,Vehicle ⊑ Course ⊔ Patient
Every car maintains only books.,Car ⊑ ∀maintains.Book
Every school that operates a software is a account.,School ⊓ ∃operates.Software ⊑ Account
Every researcher that works for a invoice is a service.,Researcher ⊓ ∃worksFor.Invoice ⊑ Service
No publication is a student.,Publication ⊑ ¬Student
A bank or a food.,Bank ⊔ Food
Whatever is both a scientist and a school authors a cat.,Scientist ⊓ School ⊑ ∃authors.Cat
Every animal that owns a student is a researcher.,Animal ⊓ ∃owns.Student ⊑ Researcher
A bank cannot be a project.,Bank ⊑ ¬Project
A vehicle cannot be a publication.,Vehicle ⊑ ¬Publication
Every researcher that sells a manager is a student.,Researcher ⊓ ∃sells.Manager ⊑ Student
A order is neither a teacher nor a book.,Order ⊑ ¬(Teacher ⊔ Book)
All movies are universitys.,Movie ⊑ University
Anything that works for a country.,∃worksFor.Country
A movie or a person.,Movie ⊔ Person
Anything that authors only machines.,∀authors.Machine
Every plant is a student that treats only doctors.,Plant ⊑ Student ⊓ ∀treats.Doctor
Anything that knows a company also knows a machine.,∃knows.Company ⊑ ∃knows.Machine
